,D3,D2,D1,clusters
51,-138.75241,71.37103,-59.205505,1
52,111.37243,47.33757,41.9561,2
53,16.655993,-138.12764,96.34376,2
54,26.280935,133.50934,-8.962877,2
55,4.853124,-44.12732,-74.58111,0
56,-86.593346,17.63045,145.63959,2
57,-181.09526,34.027958,-41.97286,0
58,135.45578,12.84491,-16.556408,3
59,-19.185524,85.194725,-5.6075172,2
60,-47.434296,-68.136116,25.611202,0
61,73.59397,117.203545,105.50512,0
62,-40.128044,9.879074,-139.78421,1
63,-71.70989,-48.193527,81.42427,2
64,-78.86503,86.87323,-84.202896,1
65,133.71394,74.811485,2.6801305,0
66,144.15242,-50.61242,-68.625725,1
67,43.132973,-98.29915,-31.917,1
68,16.941961,-91.63218,-65.69333,0
69,-131.35631,-31.62748,-101.96745,1
70,163.22871,-94.88241,-91.52084,0
71,-5.6372123,36.766277,-26.045408,2
72,-40.688065,55.620525,-174.18546,2
73,-8.001262,19.04942,147.22942,2
74,-0.4551288,178.05469,75.4331,1
75,4.41885,-28.571857,161.42967,1
76,-74.54183,-91.76547,72.358406,2
77,-80.093414,5.0168514,56.004486,1
78,87.77073,-100.20661,31.247183,3
79,119.11986,-138.10979,-51.87625,0
80,50.013695,-20.435719,33.38054,2
81,-111.92487,-84.036835,53.708447,1
82,-182.05998,111.79528,46.431465,2
83,-73.76937,-81.400276,-118.37914,2
84,-50.79532,66.875404,175.20294,2
85,-31.865381,47.03065,-88.564926,2
86,95.47677,117.73517,-108.0636,1
87,156.90794,41.45403,-84.88007,3
88,25.242998,87.59753,6.682233,1
89,144.3113,-21.832956,93.18703,0
90,-84.262405,18.621857,7.0204077,3
91,66.65684,95.06637,-63.43163,1
92,-48.113976,6.679654,-24.133493,3
93,-64.35935,-177.6064,-5.334496,0
94,10.230864,-1.807812,30.077702,0
95,115.29077,-14.779183,-135.73264,3
96,-16.25432,125.10485,-36.243305,1
97,117.71649,-35.48819,21.162058,1
98,-103.662766,92.12786,-12.192894,3
99,-126.45609,13.50492,-126.9038,3
100,-76.54561,38.389156,87.86618,1
101,-52.101944,55.576794,-24.825193,0
